Humidity(%),Temperature(Â°C),WaterFlow(%)
2.50E+01,7.69E+01,6.74E+01
8.88E+00,3.18E+01,0.00E+00
2.50E+01,7.57E+01,6.61E+01
4.03E+01,8.83E+01,0.00E+00
3.87E+01,5.72E+01,0.00E+00
4.56E+01,2.42E+01,0.00E+00
3.32E+01,4.34E+01,0.00E+00
2.34E+01,8.14E+01,7.40E+01
1.00E+01,9.63E+01,1.00E+02
1.54E+01,5.88E+01,5.07E+01
1.93E+01,3.83E+01,2.13E+01
1.60E+01,3.22E+01,0.00E+00
9.94E+00,6.60E+01,6.31E+01
4.23E+01,4.58E+01,0.00E+00
5.10E+01,4.70E+01,0.00E+00
2.96E+01,3.99E+01,1.72E+01
5.19E+01,5.04E+01,0.00E+00
1.92E+01,5.23E+01,0.00E+00
3.23E+01,4.97E+01,0.00E+00
4.01E+01,3.44E+01,0.00E+00
8.70E+00,8.67E+01,0.00E+00
2.02E+01,2.00E+01,0.00E+00
1.16E+01,4.25E+01,3.16E+01
1.36E+01,4.87E+01,3.86E+01
5.10E+01,2.38E+01,0.00E+00
2.47E+01,5.64E+01,0.00E+00
4.29E+01,6.68E+01,0.00E+00
1.36E+01,2.03E+01,0.00E+00
1.95E+01,7.93E+01,7.37E+01
4.73E+01,6.10E+01,0.00E+00
2.21E+01,9.63E+01,9.28E+01
3.58E+01,4.55E+01,0.00E+00
4.02E+01,2.84E+01,0.00E+00
1.57E+01,5.29E+01,4.29E+01
1.53E+01,8.02E+01,7.74E+01
2.44E+01,8.32E+01,7.56E+01
3.92E+01,5.32E+01,0.00E+00
1.42E+01,7.89E+01,7.65E+01
2.41E+01,9.22E+01,8.66E+01
4.52E+01,9.47E+01,7.70E+01
5.13E+01,6.16E+01,0.00E+00
4.92E+01,3.12E+01,0.00E+00
1.43E+01,2.99E+01,0.00E+00
3.03E+01,7.38E+01,0.00E+00
3.58E+01,5.10E+01,0.00E+00
4.50E+01,3.82E+01,0.00E+00
2.02E+01,4.39E+01,2.83E+01
1.49E+01,5.09E+01,4.08E+01
4.42E+01,4.32E+01,0.00E+00
1.02E+01,9.57E+01,9.92E+01
2.58E+01,6.08E+01,0.00E+00
5.02E+01,9.70E+01,7.67E+01
5.03E+01,5.29E+01,2.21E+01
4.95E+01,2.03E+01,0.00E+00
2.34E+01,4.83E+01,3.23E+01
2.24E+01,9.48E+01,9.08E+01
1.82E+01,6.58E+01,5.78E+01
3.15E+01,7.53E+01,0.00E+00
2.35E+01,2.24E+01,0.00E+00
8.22E+00,3.62E+01,0.00E+00
2.42E+01,4.10E+01,0.00E+00
2.94E+01,2.38E+01,0.00E+00
4.39E+01,5.44E+01,0.00E+00
2.42E+01,6.51E+01,5.33E+01
2.07E+01,3.57E+01,0.00E+00
5.12E+01,9.41E+01,7.26E+01
4.31E+01,7.48E+01,0.00E+00
2.51E+01,6.96E+01,5.85E+01
4.64E+01,6.88E+01,0.00E+00
3.01E+01,3.00E+01,0.00E+00
2.71E+01,6.28E+01,0.00E+00
8.79E+00,3.12E+01,0.00E+00
3.18E+01,4.36E+01,0.00E+00
3.50E+01,2.36E+01,0.00E+00
2.06E+01,2.26E+01,0.00E+00
2.63E+01,2.83E+01,0.00E+00
1.79E+01,9.02E+01,8.80E+01
2.41E+01,3.77E+01,0.00E+00
3.98E+01,6.41E+01,0.00E+00
2.54E+01,3.18E+01,0.00E+00
2.62E+01,6.73E+01,0.00E+00
2.19E+01,2.66E+01,0.00E+00
3.84E+01,5.56E+01,0.00E+00
2.54E+01,7.23E+01,6.16E+01
2.47E+01,7.35E+01,6.35E+01
3.86E+01,9.29E+01,7.88E+01
1.06E+01,5.36E+01,4.68E+01
2.24E+01,4.66E+01,0.00E+00
4.88E+01,6.50E+01,0.00E+00
4.56E+01,9.59E+01,7.82E+01
4.72E+01,6.11E+01,0.00E+00
1.32E+01,4.38E+01,0.00E+00
1.91E+01,7.79E+01,7.23E+01
4.15E+01,7.92E+01,6.04E+01
4.02E+01,5.04E+01,0.00E+00
3.55E+01,6.48E+01,0.00E+00
2.89E+01,3.63E+01,0.00E+00
3.60E+01,8.45E+01,0.00E+00
3.97E+01,3.71E+01,0.00E+00
4.17E+01,8.93E+01,7.26E+01
2.45E+01,7.07E+01,6.01E+01
3.06E+01,7.08E+01,0.00E+00
5.14E+01,4.97E+01,0.00E+00
4.76E+01,5.59E+01,0.00E+00
3.33E+01,8.30E+01,0.00E+00
2.03E+01,4.37E+01,2.80E+01
1.99E+01,8.66E+01,8.24E+01
1.95E+01,9.90E+01,9.76E+01
4.62E+01,5.88E+01,0.00E+00
3.97E+01,5.16E+01,0.00E+00
2.71E+01,6.98E+01,0.00E+00
1.57E+01,7.81E+01,7.46E+01
1.71E+01,7.19E+01,6.61E+01
2.11E+01,4.86E+01,3.40E+01
2.92E+01,6.71E+01,0.00E+00
2.86E+01,4.94E+01,0.00E+00
1.71E+01,8.09E+01,7.71E+01
3.61E+01,1.00E+02,8.87E+01
3.59E+01,9.60E+01,8.41E+01
4.16E+01,2.39E+01,0.00E+00
1.42E+01,6.71E+01,6.18E+01
5.01E+01,3.95E+01,0.00E+00
1.89E+01,2.66E+01,0.00E+00
5.18E+01,9.14E+01,6.91E+01
4.80E+01,9.66E+01,7.76E+01
4.86E+01,7.43E+01,5.02E+01
3.13E+01,5.17E+01,0.00E+00
3.68E+01,6.14E+01,0.00E+00
2.22E+01,6.41E+01,5.33E+01
5.02E+01,4.82E+01,0.00E+00
2.71E+01,8.40E+01,7.49E+01
3.67E+01,9.36E+01,8.07E+01
4.69E+01,6.36E+01,0.00E+00
4.32E+01,4.12E+01,0.00E+00
1.17E+01,6.04E+01,5.50E+01
3.06E+01,2.41E+01,0.00E+00
3.43E+01,3.39E+01,0.00E+00
1.84E+01,2.92E+01,0.00E+00
5.15E+01,6.44E+01,0.00E+00
2.54E+01,9.70E+01,9.17E+01
4.72E+01,8.77E+01,6.74E+01
3.60E+01,8.33E+01,0.00E+00
5.07E+01,2.86E+01,0.00E+00
4.24E+01,8.73E+01,6.98E+01
3.61E+01,5.85E+01,0.00E+00
4.11E+01,7.21E+01,0.00E+00
1.06E+01,4.15E+01,0.00E+00
4.20E+01,2.04E+01,0.00E+00
5.10E+01,4.05E+01,0.00E+00
2.03E+01,3.30E+01,0.00E+00
3.09E+01,9.77E+01,8.91E+01
2.08E+01,3.53E+01,0.00E+00
3.27E+01,9.55E+01,8.54E+01
2.16E+01,2.25E+01,0.00E+00
3.30E+01,8.59E+01,0.00E+00
1.86E+01,6.94E+01,6.21E+01
3.09E+01,8.57E+01,0.00E+00
3.68E+01,4.55E+01,0.00E+00
4.23E+01,3.26E+01,0.00E+00
2.87E+01,3.88E+01,0.00E+00
3.67E+01,8.25E+01,0.00E+00
3.12E+01,9.18E+01,8.18E+01
3.73E+01,5.80E+01,3.65E+01
3.77E+01,9.11E+01,7.71E+01
3.37E+01,4.57E+01,0.00E+00
4.96E+01,7.21E+01,0.00E+00
2.75E+01,9.60E+01,8.91E+01
2.71E+01,2.00E+01,0.00E+00
2.49E+01,2.94E+01,0.00E+00
1.09E+01,9.12E+01,9.33E+01
2.94E+01,2.58E+01,0.00E+00
4.75E+01,9.37E+01,7.44E+01
1.73E+01,2.14E+01,0.00E+00
3.24E+01,9.13E+01,0.00E+00
5.02E+01,8.84E+01,6.64E+01
8.13E+00,4.63E+01,0.00E+00
1.14E+01,9.02E+01,9.19E+01
4.14E+01,7.49E+01,0.00E+00
2.87E+01,6.25E+01,0.00E+00
4.86E+01,5.85E+01,0.00E+00
1.45E+01,3.09E+01,0.00E+00
3.54E+01,5.16E+01,0.00E+00
2.39E+01,1.00E+02,9.61E+01
3.60E+01,6.80E+01,0.00E+00
